1 -> CELULAR_MOTOG6 -> 14-> 1->1168.00 
2 -> MOUSE_GENIUS -> 55-> 3->5530.00 
3 -> CELULAR_MOTOG6 -> 46-> 1->4230.00 
4 -> MONITOR_SAMSUNG_24 -> 51-> 3->5170.00 
5 -> MONITOR_SAMSUNG_24 -> 56-> 2->5390.00 
6 -> MOUSE_GENIUS -> 48-> 2->4670.00 
7 -> MONITOR_SAMSUNG_24 -> 29-> 2->2583.00 
8 -> MOUSE_GENIUS -> 32-> 2->2814.00 
9 -> MONITOR_SAMSUNG_24 -> 90-> 3->8680.00 
10 -> TV_LG_54 -> 24-> 2->2198.00 
11 -> NOTEBOOK_HP -> 59-> 3->5890.00 
12 -> CELULAR_MOTOG6 -> 64-> 1->5850.00 
13 -> MOUSE_GENIUS -> 93-> 1->8460.00 
14 -> MOUSE_GENIUS -> 69-> 1->6300.00 
15 -> TV_LG_54 -> 88-> 1->8010.00 
16 -> TECLADO_ESP -> 45-> 1->4140.00 
17 -> TV_LG_54 -> 104-> 3->9940.00 
18 -> TECLADO_ESP -> 47-> 3->4810.00 
19 -> MONITOR_SAMSUNG_24 -> 18-> 3->1966.00 
20 -> MOUSE_GENIUS -> 63-> 1->5760.00 
21 -> MOUSE_GENIUS -> 71-> 3->6970.00 
22 -> CELULAR_MOTOG6 -> 84-> 2->7910.00 
23 -> TECLADO_ESP -> 88-> 1->8010.00 
24 -> TECLADO_ESP -> 11-> 3->1427.00 
25 -> MOUSE_GENIUS -> 36-> 3->3352.00 
26 -> CELULAR_MOTOG5 -> 36-> 3->3352.00 
27 -> NOTEBOOK_HP -> 15-> 1->1245.00 
28 -> NOTEBOOK_HP -> 109-> 3->10390.00 
29 -> NOTEBOOK_HP -> 42-> 1->3324.00 
30 -> NOTEBOOK_HP -> 52-> 3->5260.00 
31 -> MONITOR_SAMSUNG_24 -> 48-> 2->4670.00 
32 -> TECLADO_ESP -> 36-> 2->3122.00 
33 -> MOUSE_GENIUS -> 33-> 3->3121.00 
34 -> CELULAR_MOTOG5 -> 59-> 1->5400.00 
35 -> TV_LG_54 -> 28-> 1->2246.00 
36 -> NOTEBOOK_HP -> 85-> 3->8230.00 
37 -> MONITOR_SAMSUNG_24 -> 48-> 2->4670.00 
38 -> CELULAR_MOTOG5 -> 92-> 1->8370.00 
39 -> TECLADO_ESP -> 83-> 3->8050.00 
40 -> TV_LG_54 -> 45-> 3->4630.00 
41 -> TV_LG_54 -> 47-> 2->4580.00 
42 -> MOUSE_GENIUS -> 59-> 2->5660.00 
43 -> CELULAR_MOTOG6 -> 97-> 2->9080.00 
44 -> MONITOR_SAMSUNG_24 -> 29-> 2->2583.00 
45 -> MONITOR_SAMSUNG_24 -> 102-> 2->9530.00 
46 -> TECLADO_ESP -> 23-> 3->2351.00 
47 -> CELULAR_MOTOG6 -> 103-> 2->9620.00 
48 -> MOUSE_GENIUS -> 54-> 2->5210.00 
49 -> CELULAR_MOTOG6 -> 87-> 1->7920.00 
50 -> CELULAR_MOTOG6 -> 19-> 1->1553.00 
51 -> TV_LG_54 -> 77-> 1->7020.00 
52 -> CELULAR_MOTOG5 -> 87-> 1->7920.00 
53 -> MOUSE_GENIUS -> 16-> 1->1322.00 
54 -> MOUSE_GENIUS -> 90-> 2->8450.00 
55 -> TV_LG_54 -> 107-> 2->9980.00 
56 -> MONITOR_SAMSUNG_24 -> 81-> 2->7640.00 
57 -> TV_LG_54 -> 68-> 2->6470.00 
58 -> TECLADO_ESP -> 21-> 1->1707.00 
59 -> TECLADO_ESP -> 42-> 1->3324.00 
60 -> TECLADO_ESP -> 35-> 1->2785.00 
61 -> MOUSE_GENIUS -> 98-> 1->8910.00 
62 -> NOTEBOOK_HP -> 106-> 2->9890.00 
63 -> CELULAR_MOTOG6 -> 91-> 2->8540.00 
64 -> TV_LG_54 -> 22-> 3->2274.00 
65 -> CELULAR_MOTOG5 -> 63-> 1->5760.00 
66 -> CELULAR_MOTOG6 -> 30-> 2->2660.00 
67 -> CELULAR_MOTOG6 -> 34-> 1->2708.00 
68 -> NOTEBOOK_HP -> 97-> 3->9310.00 
69 -> CELULAR_MOTOG6 -> 82-> 2->7730.00 
70 -> TV_LG_54 -> 38-> 2->3276.00 
71 -> CELULAR_MOTOG6 -> 56-> 3->5620.00 
72 -> TV_LG_54 -> 19-> 2->1813.00 
73 -> TECLADO_ESP -> 29-> 3->2813.00 
74 -> NOTEBOOK_HP -> 80-> 1->7290.00 
75 -> MONITOR_SAMSUNG_24 -> 18-> 3->1966.00 
76 -> MONITOR_SAMSUNG_24 -> 17-> 1->1399.00 
77 -> CELULAR_MOTOG6 -> 68-> 2->6470.00 
78 -> TECLADO_ESP -> 95-> 2->8900.00 
79 -> MONITOR_SAMSUNG_24 -> 53-> 3->5350.00 
80 -> TECLADO_ESP -> 82-> 3->7960.00 
81 -> CELULAR_MOTOG5 -> 31-> 2->2737.00 
82 -> CELULAR_MOTOG6 -> 101-> 1->9180.00 
83 -> TV_LG_54 -> 104-> 3->9940.00 
84 -> CELULAR_MOTOG5 -> 54-> 3->5440.00 
85 -> TECLADO_ESP -> 77-> 2->7280.00 
86 -> NOTEBOOK_HP -> 100-> 2->9350.00 
87 -> TV_LG_54 -> 39-> 3->3583.00 
88 -> CELULAR_MOTOG6 -> 38-> 3->3506.00 
89 -> NOTEBOOK_HP -> 67-> 2->6380.00 
90 -> MOUSE_GENIUS -> 50-> 1->4590.00 
91 -> CELULAR_MOTOG5 -> 101-> 3->9670.00 
92 -> TECLADO_ESP -> 50-> 2->4850.00 
93 -> CELULAR_MOTOG6 -> 25-> 2->2275.00 
94 -> MOUSE_GENIUS -> 89-> 2->8360.00 
95 -> CELULAR_MOTOG6 -> 48-> 1->4410.00 
96 -> CELULAR_MOTOG6 -> 58-> 1->5310.00 
97 -> MOUSE_GENIUS -> 35-> 2->3045.00 
98 -> NOTEBOOK_HP -> 83-> 1->7560.00 
99 -> MONITOR_SAMSUNG_24 -> 19-> 3->2043.00 
100 -> NOTEBOOK_HP -> 101-> 2->9440.00 
101 -> TV_LG_54 -> 23-> 1->1861.00 
102 -> TECLADO_ESP -> 52-> 3->5260.00 
103 -> CELULAR_MOTOG6 -> 17-> 2->1659.00 
104 -> MONITOR_SAMSUNG_24 -> 44-> 1->3478.00 
105 -> MOUSE_GENIUS -> 95-> 1->8640.00 
106 -> CELULAR_MOTOG6 -> 85-> 3->8230.00 
107 -> MOUSE_GENIUS -> 22-> 1->1784.00 
108 -> MONITOR_SAMSUNG_24 -> 110-> 3->10480.00 
109 -> MOUSE_GENIUS -> 12-> 3->1504.00 
110 -> MONITOR_SAMSUNG_24 -> 89-> 3->8590.00 
111 -> MONITOR_SAMSUNG_24 -> 17-> 3->1889.00 
112 -> CELULAR_MOTOG5 -> 31-> 1->2477.00 
113 -> MOUSE_GENIUS -> 110-> 3->10480.00 
114 -> NOTEBOOK_HP -> 32-> 3->3044.00 
115 -> CELULAR_MOTOG5 -> 72-> 2->6830.00 
116 -> MONITOR_SAMSUNG_24 -> 48-> 2->4670.00 
117 -> MONITOR_SAMSUNG_24 -> 45-> 1->4140.00 
118 -> CELULAR_MOTOG5 -> 29-> 1->2323.00 
119 -> CELULAR_MOTOG6 -> 24-> 1->1938.00 
120 -> MOUSE_GENIUS -> 11-> 3->1427.00 
121 -> MONITOR_SAMSUNG_24 -> 69-> 1->6300.00 
122 -> MOUSE_GENIUS -> 63-> 3->6250.00 
123 -> TECLADO_ESP -> 71-> 1->6480.00 
124 -> CELULAR_MOTOG5 -> 93-> 2->8720.00 
125 -> TV_LG_54 -> 44-> 3->3968.00 
126 -> CELULAR_MOTOG5 -> 16-> 1->1322.00 
127 -> CELULAR_MOTOG6 -> 80-> 3->7780.00 
128 -> MOUSE_GENIUS -> 35-> 3->3275.00 
129 -> MONITOR_SAMSUNG_24 -> 16-> 1->1322.00 
130 -> TV_LG_54 -> 99-> 3->9490.00 
131 -> TECLADO_ESP -> 109-> 2->10160.00 
132 -> CELULAR_MOTOG6 -> 24-> 3->2428.00 
133 -> MONITOR_SAMSUNG_24 -> 26-> 1->2092.00 
134 -> NOTEBOOK_HP -> 89-> 2->8360.00 
135 -> NOTEBOOK_HP -> 60-> 2->5750.00 
136 -> MOUSE_GENIUS -> 53-> 2->5120.00 
137 -> NOTEBOOK_HP -> 12-> 1->1014.00 
138 -> MOUSE_GENIUS -> 28-> 1->2246.00 
139 -> MOUSE_GENIUS -> 80-> 1->7290.00 
140 -> MOUSE_GENIUS -> 48-> 2->4670.00 
141 -> MOUSE_GENIUS -> 45-> 3->4630.00 
142 -> MONITOR_SAMSUNG_24 -> 43-> 3->3891.00 
143 -> MOUSE_GENIUS -> 88-> 1->8010.00 
144 -> CELULAR_MOTOG5 -> 107-> 1->9720.00 
145 -> TV_LG_54 -> 37-> 2->3199.00 
146 -> TV_LG_54 -> 66-> 1->6030.00 
147 -> MOUSE_GENIUS -> 10-> 1->860.00 
148 -> TECLADO_ESP -> 72-> 1->6570.00 
149 -> CELULAR_MOTOG5 -> 26-> 3->2582.00 
150 -> MONITOR_SAMSUNG_24 -> 19-> 2->1813.00 
151 -> CELULAR_MOTOG6 -> 53-> 1->4860.00 
152 -> TV_LG_54 -> 93-> 2->8720.00 
153 -> MOUSE_GENIUS -> 99-> 1->9000.00 
154 -> TECLADO_ESP -> 79-> 1->7200.00 
155 -> CELULAR_MOTOG6 -> 41-> 3->3737.00 
156 -> NOTEBOOK_HP -> 71-> 1->6480.00 
157 -> CELULAR_MOTOG6 -> 65-> 3->6430.00 
158 -> MONITOR_SAMSUNG_24 -> 30-> 3->2890.00 
159 -> CELULAR_MOTOG5 -> 17-> 1->1399.00 
160 -> CELULAR_MOTOG6 -> 42-> 2->3584.00 
161 -> MOUSE_GENIUS -> 49-> 3->4990.00 
162 -> TECLADO_ESP -> 98-> 1->8910.00 
163 -> MOUSE_GENIUS -> 95-> 3->9130.00 
164 -> NOTEBOOK_HP -> 16-> 2->1582.00 
165 -> CELULAR_MOTOG5 -> 89-> 2->8360.00 
166 -> CELULAR_MOTOG5 -> 77-> 3->7510.00 
167 -> MONITOR_SAMSUNG_24 -> 101-> 1->9180.00 
168 -> CELULAR_MOTOG5 -> 88-> 2->8270.00 
169 -> TECLADO_ESP -> 38-> 1->3016.00 
170 -> TV_LG_54 -> 12-> 1->1014.00 
171 -> MOUSE_GENIUS -> 30-> 1->2400.00 
172 -> TECLADO_ESP -> 91-> 1->8280.00 
173 -> NOTEBOOK_HP -> 63-> 1->5760.00 
174 -> MONITOR_SAMSUNG_24 -> 11-> 2->1197.00 
175 -> CELULAR_MOTOG6 -> 110-> 3->10480.00 
176 -> TECLADO_ESP -> 78-> 3->7600.00 
177 -> MOUSE_GENIUS -> 87-> 1->7920.00 
178 -> CELULAR_MOTOG5 -> 89-> 1->8100.00 
179 -> MOUSE_GENIUS -> 63-> 2->6020.00 
180 -> CELULAR_MOTOG6 -> 98-> 3->9400.00 
181 -> TV_LG_54 -> 48-> 1->4410.00 
182 -> TECLADO_ESP -> 73-> 2->6920.00 
183 -> TECLADO_ESP -> 80-> 2->7550.00 
184 -> NOTEBOOK_HP -> 14-> 1->1168.00 
185 -> TV_LG_54 -> 97-> 2->9080.00 
186 -> MOUSE_GENIUS -> 43-> 1->3401.00 
187 -> NOTEBOOK_HP -> 110-> 3->10480.00 
188 -> TV_LG_54 -> 74-> 1->6750.00 
189 -> MOUSE_GENIUS -> 107-> 1->9720.00 
190 -> CELULAR_MOTOG6 -> 91-> 3->8770.00 
191 -> NOTEBOOK_HP -> 88-> 2->8270.00 
192 -> MONITOR_SAMSUNG_24 -> 82-> 1->7470.00 
193 -> TECLADO_ESP -> 81-> 2->7640.00 
194 -> MONITOR_SAMSUNG_24 -> 54-> 1->4950.00 
195 -> MONITOR_SAMSUNG_24 -> 64-> 1->5850.00 
196 -> CELULAR_MOTOG5 -> 76-> 3->7420.00 
